Name,Bank Holiday,Date
New Year's Day,1,2014-01-01
Robert Burns Night (Burns Night),0,2014-01-25
Holocaust Memorial Day,0,2014-01-27
Valentines Day,0,2014-02-14
St David's Day,0,2014-03-01
Shrove Tuesday (Pancake Day),0,2014-03-04
Ash Wednesday,0,2014-03-05
St Patricks Day,0,2014-03-17
British Summertime (BST) Begins,0,2014-03-30
Mothering Sunday (Mothers Day),0,2014-03-30
April Fool's Day,0,2014-04-01
Maundy Thursday,0,2014-04-17
Good Friday,1,2014-04-18
Easter Sunday,0,2014-04-20
Easter Monday,1,2014-04-21
Queen Elizabeth's Birthday,0,2014-04-21
St George's Day,0,2014-04-23
May Day (Early May Bank Holiday),1,2014-05-05
Spring Bank Holiday,1,2014-05-26
Trooping the Colour,0,2014-06-14
Father's Day,0,2014-06-15
Emmeline Pankhurst Day,0,2014-07-14
St.Swithun's Day (aka St. Swithin's),0,2014-07-15
Summer Bank Holiday,1,2014-08-25
British Summertime (BST) Ends,0,2014-10-26
Halloween,0,2014-10-31
All Saints Day,0,2014-11-01
Guy Fawkes Night,0,2014-11-05
Remembrance Day (Remembrance Sunday),0,2014-11-09
St Andrew's Day,0,2014-11-30
Christmas,1,2014-12-25
Boxing Day,1,2014-12-26
New Year's Day,1,2015-01-01
Robert Burns Night (Burns Night),0,2015-01-25
Holocaust Memorial Day,0,2015-01-27
Valentines Day,0,2015-02-14
Shrove Tuesday (Pancake Day),0,2015-02-17
Ash Wednesday,0,2015-02-18
St David's Day,0,2015-03-01
Mothering Sunday (Mothers Day),0,2015-03-15
St Patricks Day,0,2015-03-17
British Summertime (BST) Begins,0,2015-03-29
April Fool's Day,0,2015-04-01
Maundy Thursday,0,2015-04-02
Good Friday,1,2015-04-03
Easter Sunday,0,2015-04-05
Easter Monday,1,2015-04-06
Queen Elizabeth's Birthday,0,2015-04-21
St George's Day,0,2015-04-23
May Day (Early May Bank Holiday),1,2015-05-04
Spring Bank Holiday,1,2015-05-25
Trooping the Colour,0,2015-06-14
Father's Day,0,2015-06-21
Emmeline Pankhurst Day,0,2015-07-14
St.Swithun's Day (aka St. Swithin's),0,2015-07-15
Summer Bank Holiday,1,2015-08-31
British Summertime (BST) Ends,0,2015-10-25
Halloween,0,2015-10-31
All Saints Day,0,2015-11-01
Guy Fawkes Night,0,2015-11-05
Remembrance Day (Remembrance Sunday),0,2015-11-08
St Andrew's Day,0,2015-11-30
Christmas,1,2015-12-25
Boxing Day,1,2015-12-28
New Year's Day,1,2016-01-01
Robert Burns Night (Burns Night),0,2016-01-25
Holocaust Memorial Day,0,2016-01-27
Shrove Tuesday (Pancake Day),0,2016-02-09
Ash Wednesday,0,2016-02-10
Valentines Day,0,2016-02-14
St David's Day,0,2016-03-01
Mothering Sunday (Mothers Day),0,2016-03-06
St Patricks Day,0,2016-03-17
Maundy Thursday,0,2016-03-24
Good Friday,1,2016-03-25
British Summertime (BST) Begins,0,2016-03-27
Easter Sunday,0,2016-03-27
Easter Monday,1,2016-03-28
April Fool's Day,0,2016-04-01
Queen Elizabeth's Birthday,0,2016-04-21
St George's Day,0,2016-04-23
May Day (Early May Bank Holiday),1,2016-05-02
Spring Bank Holiday,1,2016-05-30
Trooping the Colour,0,2016-06-14
Father's Day,0,2016-06-19
Emmeline Pankhurst Day,0,2016-07-14
St.Swithun's Day (aka St. Swithin's),0,2016-07-15
Summer Bank Holiday,1,2016-08-29
British Summertime (BST) Ends,0,2016-10-30
Halloween,0,2016-10-31
All Saints Day,0,2016-11-01
Guy Fawkes Night,0,2016-11-05
Remembrance Day (Remembrance Sunday),0,2016-11-13
St Andrew's Day,0,2016-11-30
Boxing Day,1,2016-12-26
Christmas,1,2016-12-27
Hogmanay,0,2017-01-01
New Year's Day,1,2017-01-02
Robert Burns Night (Burns Night),0,2017-01-25
Holocaust Memorial Day,0,2017-01-27
Valentines Day,0,2017-02-14
Shrove Tuesday (Pancake Day),0,2017-02-28
Ash Wednesday,0,2017-03-01
St David's Day,0,2017-03-01
St Patricks Day,0,2017-03-17
British Summertime (BST) Begins,0,2017-03-26
Mothering Sunday (Mothers Day),0,2017-03-26
April Fool's Day,0,2017-04-01
Maundy Thursday,0,2017-04-13
Good Friday,1,2017-04-14
Easter Sunday,0,2017-04-16
Easter Monday,1,2017-04-17
Queen Elizabeth's Birthday,0,2017-04-21
St George's Day,0,2017-04-23
May Day (Early May Bank Holiday),1,2017-05-01
Spring Bank Holiday,1,2017-05-29
Trooping the Colour,0,2017-06-14
Father's Day,0,2017-06-18
Emmeline Pankhurst Day,0,2017-07-14
St.Swithun's Day (aka St. Swithin's),0,2017-07-15
Summer Bank Holiday,1,2017-08-28
British Summertime (BST) Ends,0,2017-10-29
Halloween,0,2017-10-31
All Saints Day,0,2017-11-01
Guy Fawkes Night,0,2017-11-05
Remembrance Day (Remembrance Sunday),0,2017-11-12
St Andrew's Day,0,2017-11-30
Christmas,1,2017-12-25
Boxing Day,1,2017-12-26
New Year's Day,1,2018-01-01
Robert Burns Night (Burns Night),0,2018-01-25
Holocaust Memorial Day,0,2018-01-27
Shrove Tuesday (Pancake Day),0,2018-02-13
Ash Wednesday,0,2018-02-14
Valentines Day,0,2018-02-14
St David's Day,0,2018-03-01
Mothering Sunday (Mothers Day),0,2018-03-11
St Patricks Day,0,2018-03-17
British Summertime (BST) Begins,0,2018-03-25
Maundy Thursday,0,2018-03-29
Good Friday,1,2018-03-30
April Fool's Day,0,2018-04-01
Easter Sunday,0,2018-04-01
Easter Monday,1,2018-04-02
Queen Elizabeth's Birthday,0,2018-04-21
St George's Day,0,2018-04-23
May Day (Early May Bank Holiday),1,2018-05-07
Spring Bank Holiday,1,2018-05-28
Trooping the Colour,0,2018-06-14
Father's Day,0,2018-06-17
Emmeline Pankhurst Day,0,2018-07-14
St.Swithun's Day (aka St. Swithin's),0,2018-07-15
Summer Bank Holiday,1,2018-08-27
British Summertime (BST) Ends,0,2018-10-28
Halloween,0,2018-10-31
All Saints Day,0,2018-11-01
Guy Fawkes Night,0,2018-11-05
St Andrew's Day,0,2018-11-30
Christmas,1,2018-12-25
Boxing Day,1,2018-12-26
